bodyId,type,instance,somaSide
10001,DNp01,DNp01(GF)_R,R
10006,VS,VS_L,L
10010,DNp01,DNp01(GF)_L,L
10012,VS,VS_R,R
10015,HSN,HSN_R,R
10016,HSE,HSE_R,R
10023,HSS,HSS_R,R
10034,HSE,HSE_L,L
10037,VS,VS_R,R
10073,VS,VS_L,L
10106,DNp11,DNp11_R,R
10112,VS,VS_R,R
10117,DNp02,DNp02_R,R
10161,VS,VS_L,L
10181,HSN,HSN_L,L
10197,DNp02,DNp02_L,L
10206,VS,VS_R,R
10228,DNp06,DNp06_L,L
10259,DNp11,DNp11_L,L
10284,VS,VS_R,R
10311,VS,VS_R,R
10403,VS,VS_R,R
10419,HSS,HSS_L,L
10584,DNp06,DNp06_R,R
10752,DNp03,DNp03_L,L
10766,VS,VS_R,R
10801,LPLC4,LPLC4_L,L
10989,DNp03,DNp03_R,R
11137,DNp04,DNp04_R,R
11498,LPLC2,LPLC2_L,L
11551,VS,VS_R,R
11747,LC11,LC11_L,L
12032,LC4,LC4_L,L
12052,LPLC1,LPLC1_L,L
12114,LPLC1,LPLC1_L,L
12190,VS,VS_L,L
12349,LC4,LC4_L,L
12384,LPLC2,LPLC2_L,L
12397,LPLC1,LPLC1_L,L
12574,LPLC4,LPLC4_L,L
12661,LPLC1,LPLC1_L,L
12824,LC4,LC4_L,L
13086,LPLC1,LPLC1_L,L
13110,LPLC1,LPLC1_L,L
13132,LPLC2,LPLC2_L,L
13180,LPLC1,LPLC1_L,L
13487,LC11,LC11_L,L
13635,LC11,LC11_L,L
13726,LPLC2,LPLC2_L,L
13764,LPLC2,LPLC2_L,L
13882,T4a,T4a_L,L
13909,LPLC4,LPLC4_L,L
14030,LPLC2,LPLC2_L,L
14102,LPLC2,LPLC2_L,L
14132,LPLC4,LPLC4_L,L
14164,LC11,LC11_L,L
14326,T5b,T5b_L,L
14465,LPLC2,LPLC2_R,R
14535,LPLC1,LPLC1_L,L
14588,LPLC4,LPLC4_L,L
14689,LPLC1,LPLC1_L,L
14731,LPLC1,LPLC1_L,L
14888,LC4,LC4_L,L
15018,LC4,LC4_L,L
15020,LC11,LC11_L,L
15049,LPLC1,LPLC1_L,L
15058,LPLC1,LPLC1_L,L
15253,LPLC1,LPLC1_L,L
15599,LPLC4,LPLC4_L,L
15664,LPLC4,LPLC4_L,L
15804,LPLC2,LPLC2_L,L
15893,LPLC1,LPLC1_L,L
15935,LPLC4,LPLC4_L,L
15951,LPLC4,LPLC4_L,L
16122,T4c,T4c_L,L
16128,LC4,LC4_R,R
16138,LC4,LC4_R,R
16304,LPLC4,LPLC4_L,L
16310,T4c,T4c_L,L
16377,LPLC1,LPLC1_L,L
16469,LPLC4,LPLC4_R,R
16628,LC4,LC4_R,R
16737,T4a,T4a_L,L
16768,LPLC1,LPLC1_L,L
16809,LC4,LC4_L,L
